week	gen	rep	plot	y
1	A	rep1	plot1	5
2	A	rep1	plot1	4.84
3	A	rep1	plot1	4.02
4	A	rep1	plot1	3.75
5	A	rep1	plot1	3.13
1	A	rep2	plot2	4.42
2	A	rep2	plot2	4.3
3	A	rep2	plot2	3.67
4	A	rep2	plot2	3.23
5	A	rep2	plot2	2.83
1	A	rep3	plot3	4.42
2	A	rep3	plot3	4.1
3	A	rep3	plot3	3.46
4	A	rep3	plot3	3.09
5	A	rep3	plot3	2.82
1	A	rep4	plot4	4.01
2	A	rep4	plot4	3.89
3	A	rep4	plot4	3.21
4	A	rep4	plot4	2.89
5	A	rep4	plot4	2.56
1	A	rep5	plot5	3.36
2	A	rep5	plot5	3.1
3	A	rep5	plot5	2.67
4	A	rep5	plot5	2.47
5	A	rep5	plot5	2.16
1	B	rep1	plot6	5.82
2	B	rep1	plot6	5.6
3	B	rep1	plot6	5.05
4	B	rep1	plot6	4.72
5	B	rep1	plot6	4.46
1	B	rep2	plot7	5.73
2	B	rep2	plot7	5.59
3	B	rep2	plot7	5
4	B	rep2	plot7	4.65
5	B	rep2	plot7	4.42
1	B	rep3	plot8	5.31
2	B	rep3	plot8	5.19
3	B	rep3	plot8	4.86
4	B	rep3	plot8	4.44
5	B	rep3	plot8	4.22
1	B	rep4	plot9	4.92
2	B	rep4	plot9	4.66
3	B	rep4	plot9	4.56
4	B	rep4	plot9	4.16
5	B	rep4	plot9	3.99
1	B	rep5	plot10	3.96
2	B	rep5	plot10	3.86
3	B	rep5	plot10	3.5
4	B	rep5	plot10	3.13
5	B	rep5	plot10	2.95
1	C	rep1	plot11	5.65
2	C	rep1	plot11	5.97
3	C	rep1	plot11	5.27
4	C	rep1	plot11	5.07
5	C	rep1	plot11	4.52
1	C	rep2	plot12	5.39
2	C	rep2	plot12	5.49
3	C	rep2	plot12	5.08
4	C	rep2	plot12	4.87
5	C	rep2	plot12	4.32
1	C	rep3	plot13	5.15
2	C	rep3	plot13	5.28
3	C	rep3	plot13	4.93
4	C	rep3	plot13	4.67
5	C	rep3	plot13	4.15
1	C	rep4	plot14	4.5
2	C	rep4	plot14	4.89
3	C	rep4	plot14	4.74
4	C	rep4	plot14	4.49
5	C	rep4	plot14	4.1
1	C	rep5	plot15	3.75
2	C	rep5	plot15	3.74
3	C	rep5	plot15	3.55
4	C	rep5	plot15	3.28
5	C	rep5	plot15	3
1	D	rep1	plot16	5.86
2	D	rep1	plot16	5.6
3	D	rep1	plot16	5.37
4	D	rep1	plot16	5
5	D	rep1	plot16	4.37
1	D	rep2	plot17	5.82
2	D	rep2	plot17	5.55
3	D	rep2	plot17	5.29
4	D	rep2	plot17	4.95
5	D	rep2	plot17	4.07
1	D	rep3	plot18	5.26
2	D	rep3	plot18	5.06
3	D	rep3	plot18	4.76
4	D	rep3	plot18	4.48
5	D	rep3	plot18	3.94
1	D	rep4	plot19	4.87
2	D	rep4	plot19	4.75
3	D	rep4	plot19	4.55
4	D	rep4	plot19	4.33
5	D	rep4	plot19	3.83
1	D	rep5	plot20	3.96
2	D	rep5	plot20	3.76
3	D	rep5	plot20	3.56
4	D	rep5	plot20	3.18
5	D	rep5	plot20	2.96
